               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1044,            0.052084,            0.027674,           0.0047183,             0.30389,           0.0032141,          0.00080432,            0.092606,            0.037553,            0.026397,            0.070556,           0.0032716,           0.0032716
                   1,            0.096599,            0.056484,            0.026521,           0.0043589,             0.29158,           0.0040572,           0.0010113,            0.092021,            0.037959,            0.025888,            0.040244,           0.0062936,           0.0062936
                   2,            0.094236,            0.059525,            0.025558,           0.0038727,               0.258,           0.0032309,          0.00074147,            0.094198,            0.037199,            0.026823,           0.0096185,           0.0090012,           0.0090012
                   3,            0.092771,              0.0625,            0.025205,           0.0025601,            0.016216,           0.0006641,          0.00016647,             0.12954,            0.030786,            0.063829,           0.0085857,           0.0085857,           0.0085857
                   4,             0.09148,            0.056943,            0.024264,           0.0059426,             0.16209,           0.0035791,          0.00083017,            0.098313,            0.037586,            0.024544,           0.0085857,           0.0085857,           0.0085857
                   5,            0.088791,            0.057352,            0.023813,             0.01719,             0.26123,            0.012973,            0.003113,            0.086691,            0.041442,             0.02194,           0.0081143,           0.0081143,           0.0081143
                   6,            0.087101,            0.060175,            0.022808,            0.075834,             0.06876,             0.03067,           0.0071846,            0.084918,            0.045884,            0.021138,           0.0076429,           0.0076429,           0.0076429
                   7,             0.08562,            0.057979,             0.02225,            0.089289,            0.081673,            0.050048,            0.013884,            0.083531,            0.047609,            0.021991,           0.0071714,           0.0071714,           0.0071714
                   8,            0.083422,            0.057909,            0.021525,            0.074847,             0.09761,            0.055675,            0.012632,            0.084084,             0.04722,            0.022018,              0.0067,              0.0067,              0.0067
                   9,            0.082244,            0.057484,            0.020678,             0.13289,            0.094866,            0.062323,             0.01629,             0.08049,            0.050167,            0.019864,           0.0062286,           0.0062286,           0.0062286
                  10,            0.080181,            0.058591,            0.019325,             0.14652,             0.14771,            0.091166,            0.028125,            0.079181,            0.039543,            0.017186,           0.0057571,           0.0057571,           0.0057571
                  11,            0.078474,            0.055632,            0.019207,             0.27343,             0.14075,             0.12453,            0.042557,            0.078031,            0.042723,            0.019479,           0.0052857,           0.0052857,           0.0052857
                  12,            0.077593,            0.058295,            0.018371,             0.28494,             0.18272,             0.13783,            0.042078,            0.075898,            0.041865,            0.017304,           0.0048143,           0.0048143,           0.0048143
                  13,            0.076834,            0.059786,             0.01782,             0.36035,             0.19742,             0.17759,            0.062519,            0.073505,            0.038388,            0.017466,           0.0043429,           0.0043429,           0.0043429
                  14,            0.075443,            0.057287,             0.01659,             0.25364,              0.2537,             0.20165,            0.073417,            0.074163,            0.037959,              0.0151,           0.0038714,           0.0038714,           0.0038714
                  15,            0.074361,            0.058232,            0.016709,             0.33733,             0.22763,             0.17906,            0.060022,            0.073079,            0.037979,            0.014327,              0.0034,              0.0034,              0.0034
                  16,            0.073844,            0.056098,            0.015659,             0.32207,             0.28091,             0.22605,            0.082581,            0.072769,            0.038143,            0.014001,           0.0029286,           0.0029286,           0.0029286
                  17,            0.072831,            0.055042,            0.014701,             0.28998,             0.27878,             0.21453,            0.075045,            0.072091,            0.035474,            0.013463,           0.0024571,           0.0024571,           0.0024571
                  18,            0.071221,            0.055675,            0.014678,             0.33362,             0.31621,             0.25926,            0.096088,            0.069232,            0.035396,            0.012682,           0.0019857,           0.0019857,           0.0019857
                  19,            0.071139,            0.055469,            0.013259,             0.37037,             0.29216,              0.2864,             0.11212,            0.068868,            0.034867,            0.012481,           0.0015143,           0.0015143,           0.0015143
                  20,            0.070394,             0.05548,            0.013408,             0.40442,              0.2864,             0.28859,             0.11284,            0.068524,            0.034763,            0.011056,           0.0010429,           0.0010429,           0.0010429
